Deinflect Rules 20081220-0509 | by Jonathan Zarate | http://www.polarcloud.com
polite past negative
polite negative
polite volitional
-chau
-sugiru
-nasai
polite past
-tara
-tari
causative
potential or passive
-sou
-tai
polite
past
negative
passive
-ba
volitional
potential
passive or causative
-te
-zu
imperative
masu stem
adv
noun
imperative negative
くありませんでした	い	1152	0
いませんでした	う	640	0
きませんでした	く	640	0
きませんでした	くる	2176	0
ぎませんでした	ぐ	640	0
しませんでした	す	640	0
しませんでした	する	4224	0
ちませんでした	つ	640	0
にませんでした	ぬ	640	0
びませんでした	ぶ	640	0
みませんでした	む	640	0
りませんでした	る	640	0
くありません	い	1152	1
ませんでした	る	2432	0
いましょう	う	640	2
きましょう	く	640	2
きましょう	くる	2176	2
ぎましょう	ぐ	640	2
しましょう	す	640	2
しましょう	する	4224	2
ちましょう	つ	640	2
にましょう	ぬ	640	2
びましょう	ぶ	640	2
みましょう	む	640	2
りましょう	る	640	2
いじゃう	ぐ	514	3
いすぎる	う	513	4
いちゃう	く	514	3
いなさい	う	640	5
いました	う	640	6
いません	う	640	1
かったら	い	1152	7
かったり	い	1152	8
きすぎる	く	513	4
きすぎる	くる	2049	4
ぎすぎる	ぐ	513	4
きちゃう	くる	2050	3
きなさい	く	640	5
きなさい	くる	2176	5
ぎなさい	ぐ	640	5
きました	く	640	6
きました	くる	2176	6
ぎました	ぐ	640	6
きません	く	640	1
きません	くる	2176	1
ぎません	ぐ	640	1
こさせる	くる	2049	9
こられる	くる	2049	10
しすぎる	す	513	4
しすぎる	する	4097	4
しちゃう	す	514	3
しちゃう	する	4098	3
しなさい	す	640	5
しなさい	する	4224	5
しました	す	640	6
しました	する	4224	6
しません	す	640	1
しません	する	4224	1
ちすぎる	つ	513	4
ちなさい	つ	640	5
ちました	つ	640	6
ちません	つ	640	1
っちゃう	う	514	3
っちゃう	く	514	3
っちゃう	つ	514	3
っちゃう	る	514	3
にすぎる	ぬ	513	4
になさい	ぬ	640	5
にました	ぬ	640	6
にません	ぬ	640	1
びすぎる	ぶ	513	4
びなさい	ぶ	640	5
びました	ぶ	640	6
びません	ぶ	640	1
ましょう	る	2432	2
みすぎる	む	513	4
みなさい	む	640	5
みました	む	640	6
みません	む	640	1
りすぎる	る	513	4
りなさい	る	640	5
りました	る	640	6
りません	る	640	1
んじゃう	ぬ	514	3
んじゃう	ぶ	514	3
んじゃう	む	514	3
いそう	う	640	11
いたい	う	516	12
いたら	く	640	7
いだら	ぐ	640	7
いたり	く	640	8
いだり	ぐ	640	8
います	う	640	13
かせる	く	513	9
がせる	ぐ	513	9
かった	い	1152	14
かない	く	516	15
がない	ぐ	516	15
かれる	く	513	16
がれる	ぐ	513	16
きそう	く	640	11
きそう	くる	2176	11
ぎそう	ぐ	640	11
きたい	く	516	12
きたい	くる	2052	12
ぎたい	ぐ	516	12
きたら	くる	2176	7
きたり	くる	2176	8
きます	く	640	13
きます	くる	2176	13
ぎます	ぐ	640	13
くない	い	1028	15
ければ	い	1152	17
こない	くる	2052	15
こよう	くる	2176	18
これる	くる	2049	19
させる	する	4097	9
させる	る	2305	9
さない	す	516	15
される	す	513	20
される	する	4097	16
しそう	す	640	11
しそう	する	4224	11
したい	す	516	12
したい	する	4100	12
したら	す	640	7
したら	する	4224	7
したり	す	640	8
したり	する	4224	8
しない	する	4100	15
します	す	640	13
します	する	4224	13
しよう	する	4224	18
すぎる	い	1025	4
すぎる	る	2305	4
たせる	つ	513	9
たない	つ	516	15
たれる	つ	513	16
ちそう	つ	640	11
ちたい	つ	516	12
ちます	つ	640	13
ちゃう	る	2306	3
ったら	う	640	7
ったら	つ	640	7
ったら	る	640	7
ったり	う	640	8
ったり	つ	640	8
ったり	る	640	8
なさい	る	2432	5
なせる	ぬ	513	9
なない	ぬ	516	15
なれる	ぬ	513	16
にそう	ぬ	640	11
にたい	ぬ	516	12
にます	ぬ	640	13
ばせる	ぶ	513	9
ばない	ぶ	516	15
ばれる	ぶ	513	16
びそう	ぶ	640	11
びたい	ぶ	516	12
びます	ぶ	640	13
ました	る	2432	6
ませる	む	513	9
ません	る	2432	1
まない	む	516	15
まれる	む	513	16
みそう	む	640	11
みたい	む	516	12
みます	む	640	13
らせる	る	513	9
らない	る	516	15
られる	る	2817	10
りそう	る	640	11
りたい	る	516	12
ります	る	640	13
わせる	う	513	9
わない	う	516	15
われる	う	513	16
んだら	ぬ	640	7
んだら	ぶ	640	7
んだら	む	640	7
んだり	ぬ	640	8
んだり	ぶ	640	8
んだり	む	640	8
いた	く	640	14
いだ	ぐ	640	14
いて	く	640	21
いで	ぐ	640	21
えば	う	640	17
える	う	513	19
おう	う	640	18
かず	く	640	22
がず	ぐ	640	22
きた	くる	2176	14
きて	くる	2176	21
くて	い	1152	21
けば	く	640	17
げば	ぐ	640	17
ける	く	513	19
げる	ぐ	513	19
こい	くる	2176	23
こう	く	640	18
ごう	ぐ	640	18
こず	くる	2176	22
さず	す	640	22
した	す	640	14
した	する	4224	14
して	す	640	21
して	する	4224	21
しろ	する	4224	23
せず	する	4224	22
せば	す	640	17
せよ	する	4224	23
せる	す	513	19
そう	い	1152	11
そう	す	640	18
そう	る	2432	11
たい	る	2308	12
たず	つ	640	22
たら	る	2432	7
たり	る	2432	8
った	う	640	14
った	く	640	14
った	つ	640	14
った	る	640	14
って	う	640	21
って	く	640	21
って	つ	640	21
